Merek,Varian,Model,Tahun,Jarak tempuh,Tipe bahan bakar,Warna,Transmisi,Sistem Penggerak,Tipe bodi,Kapasitas mesin,Harga
Honda,RS 1.2,Brio,2017,35.000-40.000 km,Bensin,Putih,Manual,All Wheel Drive (AWD),Compact & City Car,>1.000 - 1.500 cc,137000000
Opel,Montera LN,Blazer,2001,245.000-250.000 km,Bensin,Hitam,Manual,4X2,SUV,>2.000 - 3.000 cc,45000000
Daihatsu,Li Sporty,Xenia,2009,110.000-115.000 km,Bensin,Hitam,Manual,?,Minibus,<1.000 cc,79000000
Hyundai,GLS,Atoz,2004,150.000-155.000 km,Bensin,Biru,Manual,4X2,Sedan,<1.000 cc,47000000
Toyota,G,Avanza,2008,60.000-65.000 km,Bensin,Lainnya,Manual,4X2,Compact & City Car,>1.000 - 1.500 cc,110000000
Toyota,G,Etios,2014,70.000-75.000 km,Bensin,Silver,Manual,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,97500000
Daihatsu,Lain-lain,Gran max Pick-up,2012,40.000-45.000 km,Bensin,Silver,Manual,4X2,Pick-up,>1.000 - 1.500 cc,63000000
Toyota,E,Yaris,2012,60.000-65.000 km,Bensin,Hitam,Manual,?,Compact & City Car,>1.000 - 1.500 cc,116000000
Nissan,1.2L,March,2011,105.000-110.000 km,Bensin,Merah,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,79000000
Toyota,S,Yaris,2011,30.000-35.000 km,Bensin,Silver,Manual,?,?,?,99500000
Honda,?,Brio,2019,0-5.000 km,Bensin,Lainnya,Automatic,?,?,?,166000000
Nissan,HWS,Serena,2012,110.000-115.000 km,Bensin,Silver,Automatic,4X2,MPV,>1.500 - 2.000 cc,117000000
Daihatsu,Xi Special Edition,Xenia,2009,55.000-60.000 km,Bensin,Silver,Manual,4X2,MPV,>1.000 - 1.500 cc,82000000
Toyota,G,Vios,2007,140.000-145.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,79500000
Daihatsu,R,Terios,2016,30.000-35.000 km,Bensin,Putih,Manual,?,?,?,172000000
Honda,RS 1.2,Brio,2017,35.000-40.000 km,Bensin,Putih,Manual,All Wheel Drive (AWD),Compact & City Car,>1.000 - 1.500 cc,137000000
Toyota,VRZ,Fortuner,2018,30.000-35.000 km,Diesel,Hitam,Automatic,4X2,Jeep,>2.000 - 3.000 cc,275000000
Nissan,Lain-lain,Grand livina,2010,100.000-105.000 km,Bensin,Hitam,Manual,?,Minibus,>1.000 - 1.500 cc,105000000
Toyota,G,Innova,2011,85.000-90.000 km,Bensin,Silver,Manual,Front Wheel Drive (FWD),Minibus,>1.500 - 2.000 cc,149000000
Honda,2.4L Vti,Accord,2004,195.000-200.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),Sedan,>2.000 - 3.000 cc,90000000
Toyota,G,Calya,2018,10.000-15.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,114900000
Toyota,G TRD,Fortuner,2014,40.000-45.000 km,Diesel,Hitam,Automatic,Rear Wheel Drive (RWD),SUV,>2.000 - 3.000 cc,325000000
Toyota,G,Avanza,2012,115.000-120.000 km,Bensin,Silver,Automatic,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,99000000
Suzuki,RV. Gx,Carry,2013,45.000-50.000 km,Bensin,Merah,Manual,4X2,MPV,>1.000 - 1.500 cc,75000000
BMW,318i E46 Facelift 2.0,Serie 3,2003,60.000-65.000 km,Bensin,Hitam,Automatic Triptonic,Rear Wheel Drive (RWD),Sedan,>1.500 - 2.000 cc,89000000
Toyota,G,Avanza,2013,90.000-95.000 km,Bensin,Hitam,Manual,4X2,Minibus,?,118000000
Suzuki,GL,Ertiga,2016,40.000-45.000 km,Bensin,Putih,Automatic,?,?,?,145000000
Toyota,E,Avanza,2014,80.000-85.000 km,Bensin,Putih,Manual,4X2,Minibus,>1.000 - 1.500 cc,125000000
Toyota,G,Avanza,2004,95.000-100.000 km,Bensin,Silver,Manual,Rear Wheel Drive (RWD),MPV,>1.000 - 1.500 cc,82000000
Daihatsu,R 1.3 Sporty,Xenia,2016,30.000-35.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,135000000
Toyota,G,Avanza,2017,25.000-30.000 km,Bensin,Abu-abu,Manual,4X2,MPV,>1.000 - 1.500 cc,154000000
Honda,RS CVT,Jazz,2017,20.000-25.000 km,Bensin,Oranye,Automatic,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,228000000
Mitsubishi,Dakar 2.4,Pajero Sport,2018,10.000-15.000 km,Diesel,Putih,Automatic Triptonic,4X2,MPV,>2.000 - 3.000 cc,490000000
Toyota,2.5 G,Alphard,2018,5.000-10.000 km,Bensin,Hitam,Automatic,4X2,MPV,>2.000 - 3.000 cc,1050000000
Toyota,Veloz,Avanza,2011,95.000-100.000 km,Bensin,Silver,Automatic Triptonic,4X2,Minibus,>1.000 - 1.500 cc,125000000
Chevrolet,LT,Aveo,2013,15.000-20.000 km,Bensin,Hitam,Automatic,?,MPV,?,108000000
Toyota,G,Avanza,2014,30.000-35.000 km,Bensin,Putih,Manual,?,SUV,>1.000 - 1.500 cc,150000000
Toyota,G TRD,Fortuner,2014,40.000-45.000 km,Diesel,Hitam,Automatic,Rear Wheel Drive (RWD),SUV,>2.000 - 3.000 cc,325000000
Toyota,TRD Sportivo,Yaris,2014,95.000-100.000 km,Bensin,Oranye,Automatic,4X2,Compact & City Car,>1.000 - 1.500 cc,165000000
Suzuki,GX,Ertiga,2014,95.000-100.000 km,Bensin,Abu-abu,Automatic,Front Wheel Drive (FWD),MPV,>1.500 - 2.000 cc,120000000
Suzuki,GL,Ertiga,2016,30.000-35.000 km,Bensin,Silver,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,153000000
Nissan,Lain-lain,X-Trail,2011,80.000-85.000 km,Bensin,Abu-abu,Automatic,Front Wheel Drive (FWD),SUV,>2.000 - 3.000 cc,120000000
Suzuki,Lain-lain,Escudo,2001,275.000-280.000 km,Bensin,Silver,Manual,4X2,SUV,>1.500 - 2.000 cc,65000000
Toyota,1.3,Corolla,1997,45.000-50.000 km,Bensin,Emas,Automatic,4X2,Sedan,>1.500 - 2.000 cc,38500000
Toyota,Q,Sienta,2016,30.000-35.000 km,Bensin,Oranye,Automatic Triptonic,Front Wheel Drive (FWD),MPV,>1.500 - 2.000 cc,205000000
Toyota,G,Calya,2017,35.000-40.000 km,Bensin,Merah,Manual,4X2,MPV,>1.000 - 1.500 cc,112000000
Daihatsu,TS Extra,Terios,2014,35.000-40.000 km,Bensin,Putih,Manual,Rear Wheel Drive (RWD),SUV,>1.000 - 1.500 cc,137000000
Chevrolet,LT,Spin,2013,90.000-95.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),MPV,>1.000 - 1.500 cc,85000000
Suzuki,GL,Ertiga,2012,65.000-70.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,116000000
Daihatsu,Lain-lain,Espass,2003,230.000-235.000 km,Bensin,Merah,Manual,4X2,Wagon,>1.000 - 1.500 cc,39000000
BMW,sDrive18i Executive,X1,2017,10.000-15.000 km,Bensin,Hitam,Automatic Triptonic,4X2,Jeep,>1.500 - 2.000 cc,550000000
Chevrolet,?,Spin,2014,80.000-85.000 km,Bensin,Abu-abu,Automatic,?,MPV,>1.000 - 1.500 cc,99000000
BMW,523i,Serie 5,2008,30.000-35.000 km,Bensin,Hitam,Automatic Triptonic,Rear Wheel Drive (RWD),Sedan,>2.000 - 3.000 cc,190000000
Isuzu,2.8 Minibus Diesel,Elf Minibus,2013,95.000-100.000 km,Diesel,Silver,Manual,4X4,Sports & Super Car,>2.000 - 3.000 cc,128500000
Toyota,G,Innova,2007,75.000-80.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,110000000
Honda,E Prestige,Mobilio,2014,100.000-105.000 km,Bensin,Putih,Automatic,?,?,?,120000000
Toyota,G,Avanza,2011,40.000-45.000 km,Bensin,Hitam,Automatic,4X2,SUV,>1.000 - 1.500 cc,105800000
Mitsubishi,V6-24,Galant,2000,165.000-170.000 km,Bensin,Abu-abu,Manual,Front Wheel Drive (FWD),Sedan,>2.000 - 3.000 cc,65000000
Toyota,G,Innova,2008,90.000-95.000 km,Bensin,Abu-abu,Manual,4X2,MPV,>1.500 - 2.000 cc,133000000
Toyota,TRD Sportivo,Yaris,2014,50.000-55.000 km,Bensin,Putih,Manual,?,?,?,160000000
Isuzu,2.8 Minibus Diesel,Elf Minibus,2000,40.000-45.000 km,Diesel,Biru,Manual,?,Minibus,>2.000 - 3.000 cc,66000000
