Merek,Varian,Model,Tahun,Jarak tempuh,Tipe bahan bakar,Warna,Transmisi,Sistem Penggerak,Tipe bodi,Kapasitas mesin,Harga
Toyota,V Diesel,Innova,2017,40.000-45.000 km,Diesel,Putih,Automatic,?,?,>2.000 - 3.000 cc,315000000
Daihatsu,Lain-lain,Gran max Pick-up,2015,30.000-35.000 km,Bensin,Putih,Manual,4X2,Pick-up,>1.000 - 1.500 cc,80000000
Toyota,1.5,Kijang,1994,>300.000 km,Bensin,Hijau,Manual,4X2,Minibus,>1.000 - 1.500 cc,33000000
Daihatsu,X,Ayla,2016,30.000-35.000 km,Bensin,Merah,Manual,All Wheel Drive (AWD),Compact & City Car,>1.000 - 1.500 cc,88000000
Suzuki,GL,Ertiga,2014,90.000-95.000 km,Bensin,Abu-abu,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,113000000
Nissan,HWS,Serena,2013,80.000-85.000 km,Bensin,Silver,Automatic,4X2,Wagon,>1.500 - 2.000 cc,175000000
Mazda,Grand Touring,CX-5,2015,40.000-45.000 km,Bensin,Abu-abu,Automatic,4X2,MPV,>2.000 - 3.000 cc,310000000
Suzuki,Lain-lain,Carry,2019,0-5.000 km,Bensin,Hitam,Manual,4X2,Pick-up,>1.000 - 1.500 cc,156000000
Timor,1.5,DOHC,2001,20.000-25.000 km,Bensin,Kuning,Manual,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,28000000
Nissan,XV,Evalia,2012,205.000-210.000 km,Bensin,Putih,Manual,4X2,Minibus,>1.000 - 1.500 cc,87000000
Suzuki,GX,Katana,2003,55.000-60.000 km,Bensin,Merah,Manual,4X2,Jeep,<1.000 cc,50000000
Honda,RS CVT,Jazz,2013,95.000-100.000 km,Bensin,Putih,Automatic Triptonic,4X2,Sedan,>1.000 - 1.500 cc,175000000
Honda,RS,Jazz,2010,95.000-100.000 km,Bensin,Hitam,Automatic Triptonic,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,138000000
Toyota,G,Avanza,2013,50.000-55.000 km,Bensin,Hitam,Manual,?,?,?,115000000
Toyota,G,Avanza,2010,90.000-95.000 km,Bensin,Hitam,Manual,4X2,Bus,>1.000 - 1.500 cc,105000000
Daihatsu,TX,Terios,2007,65.000-70.000 km,Bensin,Hitam,Automatic,?,?,?,115000000
Daihatsu,F75 4X4 2.8,Rocky,1997,>300.000 km,Diesel,Merah,Manual,4X4,Jeep,>2.000 - 3.000 cc,98000000
Honda,RS,Jazz,2016,25.000-30.000 km,Bensin,Oranye,Automatic,?,Hatchback,?,112000000
Toyota,G,Avanza,2012,35.000-40.000 km,Bensin,Putih,Manual,4X2,Minibus,>1.000 - 1.500 cc,120000000
Daihatsu,X Deluxe,Xenia,2013,85.000-90.000 km,Bensin,Putih,Manual,?,?,?,103500000
Honda,E,Mobilio,2017,30.000-35.000 km,Bensin,Putih,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,154000000
Toyota,G,Avanza,2011,100.000-105.000 km,Bensin,Silver,Manual,4X2,Minibus,>1.000 - 1.500 cc,100000000
Honda,E,Freed,2012,5.000-10.000 km,Bensin,Ungu,Automatic,4X2,Minibus,>1.000 - 1.500 cc,169000000
Honda,E,BR-V,2017,30.000-35.000 km,Bensin,Silver,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,170000000
Mazda,?,2,2018,5.000-10.000 km,Bensin,Abu-abu,Automatic,?,?,?,248000000
Toyota,ZA,Vellfire,2011,60.000-65.000 km,Bensin,Hitam,Automatic Triptonic,Front Wheel Drive (FWD),Van,>2.000 - 3.000 cc,345000000
Daihatsu,R 1.3 DLX,Xenia,2015,60.000-65.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),MPV,>1.000 - 1.500 cc,119500000
KIA,M/T,Picanto,2017,10.000-15.000 km,Bensin,Merah,Manual,Front Wheel Drive (FWD),Compact & City Car,<1.000 cc,99900000
Suzuki,GX MT ,Ignis,2018,5.000-10.000 km,Bensin,Silver,Manual,4X2,Compact & City Car,>1.000 - 1.500 cc,139500000
Toyota,S,Yaris,2018,125.000-130.000 km,Bensin,Abu-abu,Automatic,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,110000000
Mazda,1.4,Vantrend,1993,65.000-70.000 km,Bensin,Biru,Manual,4X2,Pick-up,>1.000 - 1.500 cc,28000000
Daihatsu,X,Terios,2016,55.000-60.000 km,Bensin,Putih,Manual,4X2,Jeep,>1.500 - 2.000 cc,157000000
Mitsubishi,HD-X,Triton,2014,60.000-65.000 km,Diesel,Putih,Manual,4X4,Double Cabin,>2.000 - 3.000 cc,145000000
Hino,Truck,Dutro,2014,85.000-90.000 km,Diesel,Lainnya,Manual,4X2,Truk,>3.000 cc,165000000
Mitsubishi,GLS,Kuda,2001,150.000-155.000 km,Diesel,Silver,Manual,4X2,MPV,>2.000 - 3.000 cc,63000000
Nissan,Lain-lain,X-Trail,2007,115.000-120.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),Minibus,>2.000 - 3.000 cc,90000000
Mitsubishi,Lain-lain,Lain-lain,2012,20.000-25.000 km,Diesel,Lainnya,Manual,Front Wheel Drive (FWD),Truk,>2.000 - 3.000 cc,450000000
Isuzu,2.5,Panther,1997,5.000-10.000 km,Diesel,Merah,Manual,4X2,Minibus,>2.000 - 3.000 cc,55000000
Daihatsu,1.3,Xenia,2017,55.000-60.000 km,Bensin,Putih,Manual,4X2,Minibus,>1.000 - 1.500 cc,160000000
Honda,1.5,Freed,2009,75.000-80.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,125000000
Geely,1.3,Panda Cross,2011,50.000-55.000 km,Bensin,Silver,Manual,Front Wheel Drive (FWD),SUV,>1.000 - 1.500 cc,35000000
Toyota,TRD G Grade M/T,Yaris,2010,70.000-75.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,110000000
Honda,1.8L,Civic,2006,85.000-90.000 km,Bensin,Silver,Manual,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,139000000
Nissan,Lain-lain,Grand livina,2014,90.000-95.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),?,>1.000 - 1.500 cc,115000000
Honda,1.8L,Civic,2015,70.000-75.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,230000000
Mazda,GT,2,2014,65.000-70.000 km,Bensin,Silver,Automatic,4X2,Hatchback,>1.000 - 1.500 cc,163000000
Toyota,SRZ,Fortuner,2019,5.000-10.000 km,Bensin,Silver,Automatic Triptonic,4X2,SUV,>2.000 - 3.000 cc,417000000
Mitsubishi,Lain-lain,Outlander,2014,55.000-60.000 km,Bensin,Putih,Automatic Triptonic,Front Wheel Drive (FWD),SUV,>1.500 - 2.000 cc,219000000
Mitsubishi,Exceed,Pajero Sport,2010,105.000-110.000 km,Diesel,Abu-abu,Automatic Triptonic,4X2,MPV,>2.000 - 3.000 cc,115000000
Mitsubishi,Dakar,Pajero Sport,2016,45.000-50.000 km,Diesel,Hitam,Automatic Triptonic,Front Wheel Drive (FWD),MPV,>2.000 - 3.000 cc,420000000
Toyota,G,Agya,2015,5.000-10.000 km,Bensin,Silver,Manual,4X2,SUV,<1.000 cc,102000000
Suzuki,Mega Carry,APV,2013,60.000-65.000 km,Bensin,Hitam,Manual,4X2,Pick-up,>1.000 - 1.500 cc,71500000
Toyota,Spacio 1.5,Corolla,1994,175.000-180.000 km,Bensin,Abu-abu,Manual,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,40000000
Toyota,G,Innova,2013,60.000-65.000 km,Diesel,Putih,Automatic,4X2,MPV,>2.000 - 3.000 cc,205000000
Toyota,Venturer,Innova,2019,10.000-15.000 km,Bensin,Silver,Manual,?,?,>1.500 - 2.000 cc,378000000
Toyota,G,Vios,2005,130.000-135.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,76000000
Daihatsu,1.2 R,Sigra,2017,90.000-95.000 km,Bensin,Putih,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,95000000
Nissan,1.2L,March,2013,35.000-40.000 km,Bensin,Putih,Manual,4X2,Hatchback,?,83000000
Honda,1.7,Stream,2005,20.000-25.000 km,Bensin,Silver,Automatic,4X2,MPV,>1.500 - 2.000 cc,110000000
Toyota,G,Avanza,2013,80.000-85.000 km,Bensin,Putih,Automatic,4X2,Minibus,>1.000 - 1.500 cc,105000000
Toyota,G,Vios,2003,130.000-135.000 km,Bensin,Emas,Manual,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,71500000
Daihatsu,X,Ayla,2017,20.000-25.000 km,Bensin,Merah,Manual,Front Wheel Drive (FWD),Sedan,<1.000 cc,94500000
Honda,E,Brio,2017,30.000-35.000 km,Bensin,Putih,Manual,4X2,Wagon,>1.000 - 1.500 cc,115000000
Honda,S,Jazz,2018,15.000-20.000 km,Bensin,Abu-abu,Manual,4X2,Compact & City Car,>1.000 - 1.500 cc,195000000
BMW,sDrive18i xLine,X1,2018,25.000-30.000 km,Bensin,Putih,Automatic,All Wheel Drive (AWD),Hatchback,>1.500 - 2.000 cc,645000000
Toyota,Lain-lain,Voxy,2018,25.000-30.000 km,Bensin,Hitam,Automatic Triptonic,4X2,MPV,>2.000 - 3.000 cc,400000000
Honda,S,Mobilio,2018,40.000-45.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),Minibus,?,145000000
Honda,1.8L Prestige,HR-V,2017,20.000-25.000 km,Bensin,Hitam,Automatic,4X2,SUV,>1.500 - 2.000 cc,299000000
Honda,E,Mobilio,2014,45.000-50.000 km,Bensin,Hitam,Automatic,4X2,SUV,>1.000 - 1.500 cc,125000000
Nissan,Lain-lain,Grand livina,2011,70.000-75.000 km,Bensin,Silver,Automatic,4X2,MPV,>1.000 - 1.500 cc,79000000
Chevrolet,Lain-lain,Captiva,2010,100.000-105.000 km,Diesel,Hitam,Automatic,Front Wheel Drive (FWD),SUV,>1.500 - 2.000 cc,135000000
Toyota,Veloz,Avanza,2017,20.000-25.000 km,Bensin,Putih,Automatic,Rear Wheel Drive (RWD),SUV,>1.500 - 2.000 cc,192000000
Suzuki,Lain-lain,Futura,2001,45.000-50.000 km,Bensin,Biru,Manual,4X2,Minibus,>1.000 - 1.500 cc,31000000
KIA,Hatchback,Rio,2012,100.000-105.000 km,Bensin,Merah,Automatic,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,81000000
Honda,2.4L Vti,Accord,2009,100.000-105.000 km,Bensin,Hitam,Automatic,4X2,Sedan,>2.000 - 3.000 cc,130000000
Suzuki,GX,Swift,2013,50.000-55.000 km,Bensin,Putih,Automatic,4X2,Hatchback,>1.000 - 1.500 cc,142500000
Suzuki,Lain-lain,Escudo,2004,115.000-120.000 km,Bensin,Silver,Automatic,4X2,Jeep,>1.500 - 2.000 cc,60000000
Toyota,E,Avanza,2015,35.000-40.000 km,Bensin,Putih,Manual,Rear Wheel Drive (RWD),MPV,>1.000 - 1.500 cc,118000000
Honda,S,Freed,2012,50.000-55.000 km,Bensin,Putih,Automatic,4X2,Minibus,>1.000 - 1.500 cc,130000000
Nissan,Lain-lain,Livina,2010,115.000-120.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,86000000
Suzuki,GX,Ertiga,2014,80.000-85.000 km,Bensin,Putih,Manual,4X2,Minibus,>1.000 - 1.500 cc,125000000
Honda,GK,Jazz,2018,5.000-10.000 km,Bensin,Hitam,Automatic Triptonic,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,245000000
Mitsubishi,GLXi,Lancer,1994,40.000-45.000 km,Bensin,Silver,Manual,4X2,Sedan,>1.000 - 1.500 cc,30000000
Toyota,Lain-lain,Kijang,1995,>300.000 km,Bensin,Hijau,Manual,Front Wheel Drive (FWD),Minibus,>1.500 - 2.000 cc,45000000
Toyota,1.5,Kijang,1996,190.000-195.000 km,Bensin,Biru,Manual,4X2,MPV,>1.500 - 2.000 cc,27000000
Toyota,2.5 G,Alphard,2018,30.000-35.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),Minibus,>2.000 - 3.000 cc,968000000
Honda,2.0 i-VTEC,CR-V,2010,125.000-130.000 km,Bensin,Hitam,Automatic,4X2,SUV,>1.500 - 2.000 cc,143000000
Daihatsu,M,Sirion,2013,40.000-45.000 km,Bensin,Ungu,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,82500000
Nissan,Lain-lain,Grand livina,2014,90.000-95.000 km,Bensin,Hitam,Manual,?,MPV,>1.500 - 2.000 cc,122000000
Nissan,Lain-lain,X-Trail,2004,45.000-50.000 km,Bensin,Silver,Manual,4X2,Minibus,>1.000 - 1.500 cc,80000000
Mitsubishi,Super Exceed,Kuda,2001,>300.000 km,Diesel,Emas,Manual,Rear Wheel Drive (RWD),Minibus,>2.000 - 3.000 cc,69000000
Toyota,G,Innova,2012,115.000-120.000 km,Diesel,Putih,Automatic,Front Wheel Drive (FWD),MPV,>2.000 - 3.000 cc,209500000
Hyundai,GL,Avega,2008,90.000-95.000 km,Bensin,Coklat,Manual,4X2,Sedan,>1.000 - 1.500 cc,60000000
Toyota,G,Avanza,2014,105.000-110.000 km,Bensin,Silver,Automatic,Rear Wheel Drive (RWD),MPV,>1.000 - 1.500 cc,113000000
Daihatsu,TS,Terios,2014,70.000-75.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,125000000
Honda,RS,Jazz,2013,100.000-105.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,153000000
Daihatsu,F50 2.5L,Taft,<1986,50.000-55.000 km,Diesel,Oranye,Manual,4X4,Jeep,>2.000 - 3.000 cc,69000000
Isuzu,Pick Up 2.5,Panther,1996,0-5.000 km,Diesel,Biru,Manual,4X2,Pick-up,>3.000 cc,49000000
Nissan,Lain-lain,Grand livina,2012,60.000-65.000 km,Bensin,Silver,Automatic Triptonic,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,99000000
Mazda,Lain-lain,Familia,1999,170.000-175.000 km,Bensin,Silver,Manual,4X2,Sedan,>1.500 - 2.000 cc,35000000
Daihatsu,R,Terios,2016,80.000-85.000 km,Bensin,Abu-abu,Manual,Rear Wheel Drive (RWD),Jeep,>1.000 - 1.500 cc,168500000
Proton,Lain-lain,Savvy,2010,90.000-95.000 km,Bensin,Abu-abu,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,52000000
Honda,E Prestige,Mobilio,2014,30.000-35.000 km,Bensin,Putih,Manual,4X2,Minibus,>1.000 - 1.500 cc,145000000
Daihatsu,TX,Terios,2010,10.000-15.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.500 - 2.000 cc,125000000
Daihatsu,Lain-lain,Gran max Pick-up,2016,20.000-25.000 km,Bensin,Silver,Manual,Rear Wheel Drive (RWD),Pick-up,>1.000 - 1.500 cc,95000000
Honda,RS,Mobilio,2015,35.000-40.000 km,Bensin,Hitam,Manual,?,?,>1.000 - 1.500 cc,155000000
Toyota,Veloz,Avanza,2016,30.000-35.000 km,Bensin,Silver,Automatic,4X2,Minibus,>1.000 - 1.500 cc,166900000
Wuling,?,Confero S,2019,0-5.000 km,Bensin,Hitam,Manual,?,?,?,150800000
Toyota,G,Calya,2018,10.000-15.000 km,Bensin,Silver,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,110000000
Daihatsu,Xi Deluxe,Xenia,2010,60.000-65.000 km,Bensin,Abu-abu,Manual,4X2,Minibus,>1.000 - 1.500 cc,85000000
Toyota,E,Innova,2013,75.000-80.000 km,Bensin,Abu-abu,Automatic,Front Wheel Drive (FWD),?,?,149000000
Daihatsu,1.2 R,Sigra,2019,25.000-30.000 km,Bensin,Putih,Manual,?,Minibus,>1.000 - 1.500 cc,132000000
Toyota,V,Innova,2018,5.000-10.000 km,Diesel,Hitam,Automatic,?,MPV,>2.000 - 3.000 cc,125000000
Toyota,S,Rush,2008,95.000-100.000 km,Bensin,Silver,Automatic,Rear Wheel Drive (RWD),SUV,>1.000 - 1.500 cc,110000000
Toyota,VRZ,Fortuner,2017,35.000-40.000 km,Diesel,Putih,Automatic,4X2,Jeep,>1.500 - 2.000 cc,405000000
Honda,1.6,Civic,2002,190.000-195.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,65000000
Toyota,G,Rush,2009,100.000-105.000 km,Bensin,Silver,Manual,?,Minibus,>1.000 - 1.500 cc,120000000
Toyota,TRD Sportivo Ultimo,Rush,2016,30.000-35.000 km,Bensin,Hitam,Manual,4X2,Jeep,>1.500 - 2.000 cc,135000000
Honda,E,Brio,2018,25.000-30.000 km,Bensin,Hitam,Manual,4X2,Hatchback,>1.000 - 1.500 cc,124000000
Nissan,Kingsroad,Terrano,2000,245.000-250.000 km,Bensin,Biru,Manual,4X2,Jeep,>2.000 - 3.000 cc,65000000
Toyota,Lain-lain,Vios,2005,>300.000 km,Bensin,Silver,Manual,?,Sedan,>1.500 - 2.000 cc,47000000
Mazda,R,2,2010,75.000-80.000 km,Bensin,Hijau,Automatic,4X2,Hatchback,>1.000 - 1.500 cc,89000000
Daihatsu,TX Adventure,Terios,2013,55.000-60.000 km,Bensin,Putih,Manual,?,?,?,135000000
Daihatsu,Lain-lain,Gran max,2018,15.000-20.000 km,Bensin,Hitam,Manual,4X2,Minibus,?,124000000
Toyota,G,Altis,2001,95.000-100.000 km,Bensin,Silver,Manual,4X2,Sedan,>1.500 - 2.000 cc,60000000
Suzuki,GX,Katana,2000,60.000-65.000 km,Bensin,Hitam,Manual,?,?,?,55000000
Toyota,G,Innova,2013,100.000-105.000 km,Bensin,Silver,Automatic,4X2,MPV,>1.500 - 2.000 cc,137000000
Isuzu,Smart,Panther,2010,110.000-115.000 km,Diesel,Silver,Manual,4X2,Minibus,>2.000 - 3.000 cc,113000000
Toyota,G TRD,Fortuner,2015,50.000-55.000 km,Diesel,Putih,Automatic,4X2,Jeep,>2.000 - 3.000 cc,295000000
Chevrolet,LTZ,Spin,2013,70.000-75.000 km,Diesel,Coklat,Manual,?,?,?,95000000
Mitsubishi,ULTIMATE A/T,Xpander,2018,5.000-10.000 km,Bensin,Putih,Automatic,4X2,MPV,>1.500 - 2.000 cc,240000000
KIA,M/T,Picanto,2013,60.000-65.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,79000000
Suzuki,GX,Ertiga,2019,0-5.000 km,Bensin,Merah,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,186500000
Volkswagen,TSI,Tiguan,2013,60.000-65.000 km,Bensin,Silver,Automatic Triptonic,Front Wheel Drive (FWD),SUV,>1.500 - 2.000 cc,189000000
Ford,Base,Ranger,2014,95.000-100.000 km,Diesel,Putih,Manual,4X4,Double Cabin,>2.000 - 3.000 cc,170000000
Toyota,V Diesel,Innova,2008,135.000-140.000 km,Diesel,Hitam,Manual,?,?,>2.000 - 3.000 cc,173000000
KIA,M/T,Picanto,2007,100.000-105.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),Compact & City Car,>1.000 - 1.500 cc,62000000
Honda,RS,Jazz,2008,90.000-95.000 km,Bensin,Hitam,Automatic Triptonic,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,115000000
Mercedes-Benz,C240,C-Class,2001,140.000-145.000 km,Bensin,Silver,Automatic,Rear Wheel Drive (RWD),Sedan,>2.000 - 3.000 cc,108000000
Honda,2.4,CR-V,2010,70.000-75.000 km,Bensin,Hitam,Automatic,4X2,SUV,>2.000 - 3.000 cc,145000000
Toyota,Lain-lain,Lain-lain,2000,60.000-65.000 km,Diesel,Merah,Manual,Rear Wheel Drive (RWD),Truk,>2.000 - 3.000 cc,55000000
Honda,S,Brio,2013,45.000-50.000 km,Bensin,Abu-abu,Automatic,4X2,Hatchback,>1.000 - 1.500 cc,103000000
Honda,E,Mobilio,2015,50.000-55.000 km,Bensin,Abu-abu,Manual,4X2,MPV,>1.000 - 1.500 cc,132500000
Suzuki,GX,Ertiga,2015,70.000-75.000 km,Bensin,Putih,Manual,4X2,Minibus,>1.000 - 1.500 cc,130000000
Mitsubishi,?,Xpander,2019,0-5.000 km,Bensin,Lainnya,Manual,?,?,?,246400000
Daihatsu,D,Sirion,2015,80.000-85.000 km,Bensin,Silver,Manual,4X2,Hatchback,>1.000 - 1.500 cc,110000000
Daihatsu,?,Sigra,2019,0-5.000 km,Bensin,Lainnya,Manual,?,?,?,99999000
Daihatsu,Xi Deluxe,Xenia,2011,110.000-115.000 km,Bensin,Abu-abu,Automatic,Rear Wheel Drive (RWD),MPV,>1.000 - 1.500 cc,82000000
Daihatsu,TX,Terios,2010,85.000-90.000 km,Bensin,Silver,Automatic,Front Wheel Drive (FWD),Jeep,>1.000 - 1.500 cc,99999000
Toyota,G,Fortuner,2010,100.000-105.000 km,Diesel,Hitam,Automatic,Front Wheel Drive (FWD),MPV,>2.000 - 3.000 cc,205000000
Nissan,Lain-lain,Grand livina,2014,95.000-100.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,102000000
Hyundai,GX,Avega,2010,55.000-60.000 km,Bensin,Abu-abu,Manual,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,49000000
Nissan,Lain-lain,Grand livina,2009,85.000-90.000 km,Bensin,Abu-abu,Automatic,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,79000000
Daihatsu,X Elegant,Ayla,2015,15.000-20.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),Hatchback,<1.000 cc,96500000
Nissan,Lain-lain,Grand livina,2010,90.000-95.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,79000000
Suzuki,Lain-lain,Escudo,2003,110.000-115.000 km,Bensin,Lainnya,Manual,4X2,Sedan,>1.500 - 2.000 cc,89500000
Honda,i-DSI,Jazz,2005,105.000-110.000 km,Bensin,Silver,Automatic Triptonic,All Wheel Drive (AWD),Compact & City Car,>1.000 - 1.500 cc,82000000
Toyota,G,Avanza,2016,70.000-75.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,139500000
Mitsubishi,2.5L Dakar,Pajero Sport,2015,85.000-90.000 km,Diesel,Putih,Automatic,4X2,Minibus,>2.000 - 3.000 cc,323000000
Honda,RS,Mobilio,2016,40.000-45.000 km,Bensin,Abu-abu,Automatic,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,159000000
Daihatsu,M Sporty,Ayla,2014,65.000-70.000 km,Bensin,Putih,Manual,?,?,?,87000000
Toyota,G,Innova,2005,90.000-95.000 km,Bensin,Silver,Manual,Rear Wheel Drive (RWD),MPV,>1.500 - 2.000 cc,94000000
BMW,E89,Z4,2004,40.000-45.000 km,Bensin,Silver,Automatic Triptonic,Front Wheel Drive (FWD),Sports & Super Car,>2.000 - 3.000 cc,445000000
Honda,E,Mobilio,2015,50.000-55.000 km,Bensin,Abu-abu,Manual,4X2,MPV,>1.000 - 1.500 cc,132500000
KIA,EX,Sportage,2011,25.000-30.000 km,Bensin,Putih,Automatic Triptonic,Front Wheel Drive (FWD),SUV,>1.500 - 2.000 cc,165000000
Toyota,"2,5 V",Camry,2012,75.000-80.000 km,Bensin,Abu-abu,Automatic Triptonic,4X2,Sedan,>2.000 - 3.000 cc,210000000
Mercedes-Benz,A250,A-Class,2013,30.000-35.000 km,Bensin,Hitam,Automatic Triptonic,Front Wheel Drive (FWD),Hatchback,>2.000 - 3.000 cc,395000000
Datsun,Panca T Opt,Go+,2016,30.000-35.000 km,Bensin,Silver,Manual,4X4,Sedan,>1.000 - 1.500 cc,76000000
Honda,2.0,CR-V,2004,110.000-115.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Jeep,>1.500 - 2.000 cc,75000000
Toyota,G,Vios,2008,80.000-85.000 km,Bensin,Silver,Manual,?,Sedan,>1.000 - 1.500 cc,82000000
Toyota,S,Rush,2010,85.000-90.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),Jeep,>1.000 - 1.500 cc,109000000
Honda,VTi-L,Accord,2000,210.000-215.000 km,Bensin,Abu-abu,Automatic,4X2,Sedan,>2.000 - 3.000 cc,39500000
Toyota,Veloz,Avanza,2015,75.000-80.000 km,Bensin,Putih,Automatic,?,Compact & City Car,>1.000 - 1.500 cc,158000000
Honda,i-DSI,Jazz,2007,90.000-95.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,77000000
Toyota,G,Rush,2012,115.000-120.000 km,Bensin,Silver,Manual,4X2,Minibus,>1.500 - 2.000 cc,150000000
Daihatsu,X 1.3 Plus,Xenia,2014,75.000-80.000 km,Bensin,Silver,Manual,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,107000000
Toyota,G,Innova,2010,100.000-105.000 km,Diesel,Abu-abu,Manual,Front Wheel Drive (FWD),MPV,>2.000 - 3.000 cc,177000000
Daihatsu,Lain-lain,Gran max,2009,100.000-105.000 km,Bensin,Silver,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,72000000
Toyota,G,Avanza,2011,80.000-85.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,98000000
Suzuki,Mega Carry,APV,2012,90.000-95.000 km,Bensin,Putih,Manual,4X2,Pick-up,>1.000 - 1.500 cc,85000000
Daihatsu,Lain-lain,Taruna,2001,40.000-45.000 km,Bensin,Emas,Manual,4X2,MPV,>1.500 - 2.000 cc,71000000
Toyota,G,Avanza,2013,75.000-80.000 km,Bensin,Silver,Manual,Rear Wheel Drive (RWD),MPV,>1.000 - 1.500 cc,125000000
Mitsubishi,ULTIMATE A/T,Xpander,2017,10.000-15.000 km,Bensin,Silver,Automatic,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,225000000
Mazda,2.0 SKYACTIV,Biante,2014,60.000-65.000 km,Bensin,Hitam,Automatic Triptonic,Front Wheel Drive (FWD),MPV,>1.500 - 2.000 cc,195000000
BMW,?,X1,2015,55.000-60.000 km,Bensin,Putih,Automatic,?,?,?,357000000
Toyota,G,Fortuner,2011,145.000-150.000 km,Diesel,Putih,Automatic,Rear Wheel Drive (RWD),SUV,>2.000 - 3.000 cc,214000000
Datsun,Lain-lain,Go+,2017,10.000-15.000 km,Bensin,Putih,Manual,4X2,Wagon,>1.000 - 1.500 cc,93000001
Mitsubishi,HD-X,Strada Triton,2013,55.000-60.000 km,Diesel,Putih,Manual,4X4,Double Cabin,>2.000 - 3.000 cc,125000000
Nissan,Lain-lain,Grand livina,2012,115.000-120.000 km,Bensin,Abu-abu,Manual,Front Wheel Drive (FWD),MPV,>1.500 - 2.000 cc,95000000
Honda,RS,Jazz,2016,25.000-30.000 km,Bensin,Putih,Automatic,?,?,>1.000 - 1.500 cc,220000000
Honda,2.0 i-VTEC,CR-V,2010,110.000-115.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),SUV,>1.500 - 2.000 cc,150000000
Honda,Prestige 2.4,Odyssey,2010,100.000-105.000 km,Bensin,Hitam,Automatic Triptonic,Front Wheel Drive (FWD),MPV,>2.000 - 3.000 cc,185000000
Honda,S,Freed,2010,65.000-70.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,160000000
