Toyota,Camry,G,2013,0-5.000 km,Bensin,Hitam,Automatic,169000000
Toyota,ZG,Vellfire,2011,65.000-70.000 km,Bensin,Hitam,Automatic Triptonic,Front Wheel Drive (FWD),MPV,>2.000 - 3.000 cc,Diler,Bursa Mobil WTC Mangga Dua,295000000
Suzuki,Karimun,Lain-lain,2016,60.000-65.000 km,Bensin,Putih,Manual,Front Wheel Drive (FWD),Hatchback,<1.000 cc,69000000
Honda,2.4 Prestige,CR-V,2013,75.000-80.000 km,Bensin,Putih,Automatic,4X2,SUV,>2.000 - 3.000 cc,Diler,Bursa Mobil WTC Mangga Dua,230000000
Land Rover,Range rover,Lain-lain,2018,0-5.000 km,Bensin,Hitam,Automatic Triptonic,SUV,>1.500 - 2.000 cc,5950000000
Daihatsu,Xenia,2015,>300.000 km,Bensin,Silver,Manual,>1.000 - 1.500 cc,130000000
Lain-lain,Lain-lain,2016,50.000-55.000 km,Diesel,Putih,Automatic Triptonic,4X2,Sports & Super Car,>2.000 - 3.000 cc,Individu,410000000
Nissan,Grand livina,Lain-lain,2013,25.000-30.000 km,Bensin,Hitam,Automatic,4X2,Sedan,>1.000 - 1.500 cc,Individu,99500000
Daihatsu,1.2 R,Sigra,2017,35.000-40.000 km,Bensin,Putih,Manual,Hatchback,>1.000 - 1.500 cc,105000000
Suzuki,Cross Over,SX4,2009,80.000-85.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,80000000
Mercedes-Benz,GLC-Class,GLC250,2015,40.000-45.000 km,Bensin,Hitam,Automatic Triptonic,All Wheel Drive (AWD),SUV,>1.500 - 2.000 cc,Individu,765000000
Honda,E CVT,HR-V,2015,65.000-70.000 km,Bensin,Abu-abu,Automatic Triptonic,4X2,SUV,>1.000 - 1.500 cc,Individu,Bursa Otomotif Sunter,217500000
Toyota,E,Vios,2004,295.000-300.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,Individu,52500000
Isuzu,Lain-lain,Lain-lain,2013,55.000-60.000 km,Diesel,Putih,Manual,Truk,Individu,190000000
Suzuki,Carry,Lain-lain,2006,45.000-50.000 km,Bensin,Biru,Manual,4X2,>1.000 - 1.500 cc,Individu,47500000
Daihatsu,X,Xenia,2018,10.000-15.000 km,Bensin,Hitam,Manual,Diler,139000000
Suzuki,Lain-lain,Futura,2002,260.000-265.000 km,Bensin,Biru,Manual,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,Individu,45000000
Honda,City,2007,120.000-125.000 km,Bensin,Silver,Automatic,85000000
Toyota,G,Fortuner,2014,35.000-40.000 km,Diesel,Putih,Automatic,Rear Wheel Drive (RWD),MPV,>2.000 - 3.000 cc,Individu,280000000
Daihatsu,Ayla,2019,0-5.000 km,Bensin,Oranye,Manual,93650000
Honda,Brio,2019,0-5.000 km,Bensin,Lainnya,Manual,158000000
Mercedes-Benz,S350 L,S-Class,2007,105.000-110.000 km,Bensin,Hitam,Automatic,Rear Wheel Drive (RWD),Sedan,>3.000 cc,Individu,328000000
Honda,Jazz,RS CVT,2010,105.000-110.000 km,Bensin,Silver,Automatic Triptonic,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,Individu,Bursa Otomotif Sunter,139000000
Toyota,Avanza,E STD,2016,55.000-60.000 km,Bensin,Hitam,Manual,160000000
Honda,RS CVT,Jazz,2016,30.000-35.000 km,Bensin,Abu-abu,Automatic Triptonic,4X2,Hatchback,>1.000 - 1.500 cc,Individu,207000000
Land Rover,Range rover,Lain-lain,2018,0-5.000 km,Bensin,Hitam,Automatic Triptonic,SUV,>1.500 - 2.000 cc,Individu,5950000000
Toyota,S TRD Sportivo Luxury,Rush,2011,65.000-70.000 km,Bensin,Silver,Manual,Rear Wheel Drive (RWD),SUV,>1.000 - 1.500 cc,Individu,142000000
